LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1715670946.293171,2305804.000,49668,2,AK,1,100,49666
1715670946.307847,2305818.000,49668,2,AK,1,100,RD
1715670948.976249,2308363.500,50513,2,AK,1,100,49666
1715670951.644650,2310909.000,50513,2,AK,1,100,RD
1715670954.322486,2313463.500,51359,2,AK,1,100,50514
1715670957.000322,2316018.000,51359,2,AK,1,100,RD
1715670957.008708,2316026.000,51361,2,AK,1,100,50514
1715670957.017094,2316034.000,51361,2,AK,1,100,RD
1715670957.065840,2316080.500,51364,2,AK,1,100,51362
1715670957.114585,2316127.000,51364,2,AK,1,100,RD
1715670959.751538,2318642.500,52206,2,AK,1,100,51362
1715670962.388490,2321158.000,52206,2,AK,1,100,RD
1715670962.417842,2321186.000,52209,2,AK,1,100,52207
1715670962.447194,2321214.000,52209,2,AK,1,100,RD
1715670965.115072,2323759.000,53004,2,AK,1,100,52207
1715670967.782949,2326304.000,53004,2,AK,1,100,RD
1715670967.828549,2326347.500,53007,2,AK,1,100,53005
1715670967.874149,2326391.000,53007,2,AK,1,100,RD
1715670970.511102,2328906.500,53840,2,AK,1,100,53005
1715670973.148055,2331422.000,53840,2,AK,1,100,RD
1715670973.161159,2331434.500,53843,2,AK,1,100,53841
1715670973.174262,2331447.000,53843,2,AK,1,100,RD
1715670975.945919,2334091.000,54605,2,AK,1,100,53841
1715670978.717577,2336735.000,54605,2,AK,1,100,RD
1715670978.731204,2336748.000,54608,2,AK,1,100,54606
1715670978.744832,2336761.000,54608,2,AK,1,100,RD
1715670981.424764,2339317.500,55410,2,AK,1,100,54606
1715670984.104697,2341874.000,55410,2,AK,1,100,RD
1715670984.117800,2341886.500,55413,2,AK,1,100,55411
1715670984.130904,2341899.000,55413,2,AK,1,100,RD
1715670986.796685,2344442.000,56256,2,AK,1,100,55411
1715670989.462465,2346985.000,56256,2,AK,1,100,RD
1715670992.145543,2349544.500,57103,2,AK,1,100,56257
1715670994.828620,2352104.000,57103,2,AK,1,100,RD
1715670994.843820,2352118.500,57106,2,AK,1,100,57104
1715670994.859020,2352133.000,57106,2,AK,1,100,RD
1715670997.525849,2354677.000,57918,2,AK,1,100,57104
1715671000.192678,2357221.000,57918,2,AK,1,100,RD
1715671000.204733,2357232.500,57921,2,AK,1,100,57919
1715671000.216789,2357244.000,57921,2,AK,1,100,RD
1715671002.908776,2359812.000,58733,2,AK,1,100,58731
1715671005.600764,2362380.000,58733,2,AK,1,100,RD
1715671008.367704,2365019.500,59542,2,AK,1,100,58731
1715671011.134644,2367659.000,59542,2,AK,1,100,RD
1715671011.170809,2367693.500,59545,2,AK,1,100,59543
1715671011.206975,2367728.000,59545,2,AK,1,100,RD
1715671013.863845,2370262.500,60297,2,AK,1,100,59543
1715671016.520716,2372797.000,60297,2,AK,1,100,RD
1715671016.535392,2372811.000,60300,2,AK,1,100,60298
1715671016.550068,2372825.000,60300,2,AK,1,100,RD
1715671021.908884,2377937.000,62003,2,AK,1,100,61144
1715671027.267701,2383049.000,62003,2,AK,1,100,RD
1715671027.281853,2383062.500,62006,2,AK,1,100,62004
1715671027.296005,2383076.000,62006,2,AK,1,100,RD
1715671029.963882,2385621.000,62840,2,AK,1,100,62004
1715671032.631759,2388166.000,62840,2,AK,1,100,RD
1715671032.645387,2388179.000,62843,2,AK,1,100,62841
1715671032.659014,2388192.000,62843,2,AK,1,100,RD
1715671035.331609,2390741.500,63688,2,AK,1,100,62841
1715671038.004203,2393291.000,63688,2,AK,1,100,RD
1715671040.679943,2395843.500,64534,2,AK,1,100,63689
1715671043.355682,2398396.000,64534,2,AK,1,100,RD
1715671043.368786,2398408.500,64537,2,AK,1,100,64535
1715671043.381889,2398421.000,64537,2,AK,1,100,RD
1715671046.046098,2400962.500,65380,2,AK,1,100,64535
1715671048.710306,2403504.000,65380,2,AK,1,100,RD
1715671048.723409,2403516.500,65383,2,AK,1,100,65381
1715671048.736513,2403529.000,65383,2,AK,1,100,RD
