LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LC,LM,
1715672218.937708,3519833,52355,4,TX,1,100,487652.5656585,2232976.8730145,
1715672219.155751,3520041,52392,4,TX,1,100,487653.3657088,2232977.6730648,
1715672219.667312,3520529,52479,4,TX,1,100,487653.8991570,2232978.2064969,
1715672220.439896,3521266,52596,4,TX,1,100,487654.6322663,2232978.9396062,
1715672220.881223,3521687,52668,4,TX,1,100,487655.1325196,2232979.4398595,
1715672221.725090,3522492,52796,4,TX,1,100,487655.9162370,2232980.2235590,
1715672222.177948,3522924,52864,4,TX,1,100,487656.4168210,2232980.7241430,
1715672223.555390,3524238,53085,4,TX,1,100,487657.2491066,2232981.5564286,
1715672223.579500,3524261,53088,4,TX,1,100,487657.7828186,2232982.0901337,
1715672224.344746,3524991,53207,4,TX,1,100,487658.4991716,2232982.8064868,
1715672224.857356,3525480,53296,4,TX,1,100,487659.0491401,2232983.3564553,
1715672225.603732,3526192,53413,4,TX,1,100,487659.7490951,2232984.0564137,
1715672226.052397,3526620,53487,4,TX,1,100,487660.2824143,2232984.5897329,
1715672227.003189,3527527,53627,4,TX,1,100,487661.0823044,2232985.3896230,
1715672227.450805,3527954,53698,4,TX,1,100,487661.6540612,2232985.9613916,
1715672228.189844,3528659,53819,4,TX,1,100,487662.3656805,2232986.6730109,
1715672228.641653,3529090,53887,4,TX,1,100,487662.9008076,2232987.2081380,
1715672229.473989,3529884,54024,4,TX,1,100,487663.6491358,2232987.9564211,
1715672230.003371,3530389,54109,4,TX,1,100,487664.1828980,2232988.4901833,
1715672230.781196,3531131,54229,4,TX,1,100,487664.9490864,2232989.2563717,
1715672231.209944,3531540,54301,4,TX,1,100,487665.4658876,2232989.7731553,
1715672232.019217,3532312,54423,4,TX,1,100,487666.2324451,2232990.5397128,
1715672232.563276,3532831,54509,4,TX,1,100,487666.7492322,2232991.0564999,
1715672233.280300,3533515,54626,4,TX,1,100,487667.5159238,2232991.8231877,
1715672233.846372,3534055,54712,4,TX,1,100,487668.0492335,2232992.3564974,
1715672234.572832,3534748,54832,4,TX,1,100,487668.7991085,2232993.1063724,
1715672235.114794,3535265,54918,4,TX,1,100,487669.3330185,2232993.6402824,
1715672235.831818,3535949,55036,4,TX,1,100,487670.0324669,2232994.3397293,
1715672236.401035,3536492,55124,4,TX,1,100,487670.5492638,2232994.8565262,
1715672237.049922,3537111,55226,4,TX,1,100,487671.2992726,2232995.6065350,
1715672237.664215,3537697,55318,4,TX,1,100,487671.7993337,2232996.1065861,
1715672238.642262,3538630,55471,4,TX,1,100,487672.7324985,2232997.0397510,
1715672239.080444,3539048,55540,4,TX,1,100,487673.3324972,2232997.6397496,
1715672239.804806,3539739,55660,4,TX,1,100,487673.9994790,2232998.3067356,
1715672240.348865,3540258,55746,4,TX,1,100,487674.5325103,2232998.8397669,
1715672241.094193,3540969,55868,4,TX,1,100,487675.3157830,2232999.6230396,
1715672242.350035,3542167,56053,4,TX,1,100,487676.5493485,2233000.8565887,
1715672242.865789,3542659,56129,4,TX,1,100,487677.0826650,2233001.3899052,
1715672243.694980,3543450,56263,4,TX,1,100,487677.8824863,2233002.1897501,
