LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1715671481.643362,2816497.000,2807,2,RD,1,100,TL
1715671484.330108,2819060.000,2807,2,RD,1,100,TU
1715671487.023144,2821629.000,3674,2,RD,1,100,TL
1715671489.716180,2824198.000,3674,2,RD,1,100,TU
1715671492.393492,2826752.000,4524,2,RD,1,100,TL
1715671495.070804,2829306.000,4524,2,RD,1,100,TU
1715671497.753357,2831865.000,5386,2,RD,1,100,TL
1715671500.435910,2834424.000,5386,2,RD,1,100,TU
1715671503.109553,2836974.500,6252,2,RD,1,100,TL
1715671505.783196,2839525.000,6252,2,RD,1,100,TU
1715671508.477280,2842095.000,7098,2,RD,1,100,TL
1715671511.171364,2844665.000,7098,2,RD,1,100,TU
1715671513.850773,2847221.000,7961,2,RD,1,100,TL
1715671516.530181,2849777.000,7961,2,RD,1,100,TU
1715671519.213259,2852336.500,8828,2,RD,1,100,TL
1715671521.896336,2854896.000,8828,2,RD,1,100,TU
1715671524.582034,2857458.000,9688,2,RD,1,100,TL
1715671527.267732,2860020.000,9688,2,RD,1,100,TU
1715671529.953954,2862582.500,10545,2,RD,1,100,TL
1715671532.640176,2865145.000,10545,2,RD,1,100,TU
1715671535.318536,2867700.000,11404,2,RD,1,100,TL
1715671537.996896,2870255.000,11404,2,RD,1,100,TU
1715671540.674208,2872809.000,12252,2,RD,1,100,TL
1715671543.351520,2875363.000,12252,2,RD,1,100,TU
1715671546.041411,2877929.000,13114,2,RD,1,100,TL
1715671548.731302,2880495.000,13114,2,RD,1,100,TU
1715671551.404421,2883045.000,13964,2,RD,1,100,TL
1715671554.077539,2885595.000,13964,2,RD,1,100,TU
1715671556.796258,2888188.500,14839,2,RD,1,100,TL
1715671559.514977,2890782.000,14839,2,RD,1,100,TU
1715671562.210634,2893353.500,15706,2,RD,1,100,TL
1715671564.906291,2895925.000,15706,2,RD,1,100,TU
1715671567.593037,2898488.000,16553,2,RD,1,100,TL
1715671570.279783,2901051.000,16553,2,RD,1,100,TU
1715671572.962337,2903610.000,17416,2,RD,1,100,TL
1715671575.644890,2906169.000,17416,2,RD,1,100,TU
1715671578.354174,2908753.500,18293,2,RD,1,100,TL
1715671581.063459,2911338.000,18293,2,RD,1,100,TU
1715671583.742867,2913894.000,19139,2,RD,1,100,TL
1715671586.422275,2916450.000,19139,2,RD,1,100,TU
1715671589.132608,2919035.500,20000,2,RD,1,100,TL
1715671591.842941,2921621.000,20000,2,RD,1,100,TU
1715671594.523921,2924178.500,20856,2,RD,1,100,TL
1715671597.204902,2926736.000,20856,2,RD,1,100,TU
1715671599.936200,2929341.500,21721,2,RD,1,100,TL
1715671602.667499,2931947.000,21721,2,RD,1,100,TU
1715671605.345335,2934501.500,22568,2,RD,1,100,TL
1715671608.023170,2937056.000,22568,2,RD,1,100,TU
1715671610.702579,2939612.000,23418,2,RD,1,100,TL
1715671613.381987,2942168.000,23418,2,RD,1,100,TU
1715671616.079216,2944741.000,24285,2,RD,1,100,TL
1715671618.776446,2947314.000,24285,2,RD,1,100,TU
1715671621.453233,2949867.500,25143,2,RD,1,100,TL
1715671624.130021,2952421.000,25143,2,RD,1,100,TU
1715671626.814671,2954982.000,26001,2,RD,1,100,TL
1715671629.499320,2957543.000,26001,2,RD,1,100,TU
1715671632.185543,2960105.500,26834,2,RD,1,100,TL
1715671634.871765,2962668.000,26834,2,RD,1,100,TU
1715671637.556939,2965229.500,27696,2,RD,1,100,TL
1715671640.242112,2967791.000,27696,2,RD,1,100,TU
1715671642.939342,2970364.000,28563,2,RD,1,100,TL
