LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1715670986.693953,2344344,55825,1,HR,1,100,56
1715670987.781021,2345381,55998,1,HR,1,100,56
1715670988.883814,2346433,56172,1,HR,1,100,56
1715670989.913226,2347415,56315,1,HR,1,100,56
1715670991.076819,2348525,56504,1,HR,1,100,55
1715670992.142922,2349542,56677,1,HR,1,100,56
1715670993.271921,2350619,56851,1,HR,1,100,55
1715670994.401969,2351697,57033,1,HR,1,100,55
1715670995.475410,2352721,57195,1,HR,1,100,55
1715670996.605458,2353799,57368,1,HR,1,100,55
1715670997.696719,2354840,57520,1,HR,1,100,55
1715670998.846684,2355937,57711,1,HR,1,100,54
1715670999.942139,2356982,57883,1,HR,1,100,54
1715671000.954779,2357948,58012,1,HR,1,100,56
1715671002.040799,2358984,58181,1,HR,1,100,56
1715671003.012556,2359911,58334,1,HR,1,100,57
1715671003.916175,2360773,58474,1,HR,1,100,59
1715671004.924622,2361735,58629,1,HR,1,100,59
1715671006.062008,2362820,58800,1,HR,1,100,58
1715671007.066262,2363778,58941,1,HR,1,100,58
1715671008.248724,2364906,59128,1,HR,1,100,57
1715671009.302247,2365911,59283,1,HR,1,100,57
1715671010.450116,2367006,59473,1,HR,1,100,56
1715671011.579115,2368083,59569,1,HR,1,100,55
1715671012.688197,2369141,59695,1,HR,1,100,55
1715671013.795183,2370197,59867,1,HR,1,100,55
1715671014.943052,2371292,60055,1,HR,1,100,54
1715671015.974561,2372276,60213,1,HR,1,100,55
1715671017.040663,2373293,60373,1,HR,1,100,56
1715671018.138215,2374340,60545,1,HR,1,100,55
1715671019.210607,2375363,60717,1,HR,1,100,56
1715671020.289289,2376392,60886,1,HR,1,100,56
1715671021.372164,2377425,61058,1,HR,1,100,56
1715671022.356501,2378364,61216,1,HR,1,100,57
1715671023.408976,2379368,61388,1,HR,1,100,57
1715671024.492899,2380402,61560,1,HR,1,100,57
