LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1715670605.717937,1980915.000,61830,4,EM,1,100,RS
1715670605.775593,1980970.000,61830,4,EM,1,100,RB
1715670605.833248,1981025.000,61830,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670605.890904,1981080.000,61830,4,EM,1,100,PS
1715670605.943580,1981130.250,61862,4,EM,1,100,RS
1715670605.996256,1981180.500,61862,4,EM,1,100,RB
1715670606.048932,1981230.750,61862,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670606.101608,1981281.000,61862,4,EM,1,100,PS
1715670606.154284,1981331.250,61895,4,EM,1,100,RS
1715670606.206961,1981381.500,61895,4,EM,1,100,RB
1715670606.259637,1981431.750,61895,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670606.312313,1981482.000,61895,4,EM,1,100,PS
1715670606.364989,1981532.250,61929,4,EM,1,100,RS
1715670606.417665,1981582.500,61929,4,EM,1,100,RB
1715670606.470341,1981632.750,61929,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670606.523018,1981683.000,61929,4,EM,1,100,PS
1715670606.575694,1981733.250,61960,4,EM,1,100,RS
1715670606.628370,1981783.500,61960,4,EM,1,100,RB
1715670606.681046,1981833.750,61960,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670606.733722,1981884.000,61960,4,EM,1,100,PS
1715670606.786398,1981934.250,61996,4,EM,1,100,RS
1715670606.839075,1981984.500,61996,4,EM,1,100,RB
1715670606.891751,1982034.750,61996,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670606.944427,1982085.000,61996,4,EM,1,100,PS
1715670607.024358,1982161.250,62031,4,EM,1,100,RS
1715670607.104290,1982237.500,62031,4,EM,1,100,RB
1715670607.184221,1982313.750,62031,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670607.264153,1982390.000,62031,4,EM,1,100,PS
1715670607.316829,1982440.250,62065,4,EM,1,100,RS
1715670607.369505,1982490.500,62065,4,EM,1,100,RB
1715670607.422181,1982540.750,62065,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670607.474858,1982591.000,62065,4,EM,1,100,PS
1715670607.527534,1982641.250,62096,4,EM,1,100,RS
1715670607.580210,1982691.500,62096,4,EM,1,100,RB
1715670607.632886,1982741.750,62096,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670607.685562,1982792.000,62096,4,EM,1,100,PS
1715670607.739549,1982843.500,62130,4,EM,1,100,RS
1715670607.793535,1982895.000,62130,4,EM,1,100,RB
1715670607.847522,1982946.500,62130,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670607.901508,1982998.000,62130,4,EM,1,100,PS
1715670607.954184,1983048.250,62164,4,EM,1,100,RS
1715670608.006860,1983098.500,62164,4,EM,1,100,RB
1715670608.059537,1983148.750,62164,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670608.112213,1983199.000,62164,4,EM,1,100,PS
1715670608.164889,1983249.250,62195,4,EM,1,100,RS
1715670608.217565,1983299.500,62195,4,EM,1,100,RB
1715670608.270241,1983349.750,62195,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670608.322917,1983400.000,62195,4,EM,1,100,PS
1715670608.375594,1983450.250,62229,4,EM,1,100,RS
1715670608.428270,1983500.500,62229,4,EM,1,100,RB
1715670608.480946,1983550.750,62229,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670608.533622,1983601.000,62229,4,EM,1,100,PS
1715670608.586298,1983651.250,62264,4,EM,1,100,RS
1715670608.638974,1983701.500,62264,4,EM,1,100,RB
1715670608.691651,1983751.750,62264,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670608.744327,1983802.000,62264,4,EM,1,100,PS
1715670608.809058,1983863.750,62282,4,EM,1,100,RS
1715670608.873790,1983925.500,62282,4,EM,1,100,RB
1715670608.938521,1983987.250,62282,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670609.003252,1984049.000,62282,4,EM,1,100,PS
1715670609.058287,1984101.500,62316,4,EM,1,100,RS
1715670609.113322,1984154.000,62316,4,EM,1,100,RB
1715670609.168357,1984206.500,62316,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670609.223392,1984259.000,62316,4,EM,1,100,PS
1715670609.276068,1984309.250,62350,4,EM,1,100,RS
1715670609.328744,1984359.500,62350,4,EM,1,100,RB
1715670609.381420,1984409.750,62350,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670609.434096,1984460.000,62350,4,EM,1,100,PS
1715670609.486772,1984510.250,62383,4,EM,1,100,RS
1715670609.539448,1984560.500,62383,4,EM,1,100,RB
1715670609.592125,1984610.750,62383,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670609.644801,1984661.000,62383,4,EM,1,100,PS
1715670609.698525,1984712.250,62417,4,EM,1,100,RS
1715670609.752250,1984763.500,62417,4,EM,1,100,RB
1715670609.805974,1984814.750,62417,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670609.859699,1984866.000,62417,4,EM,1,100,PS
1715670609.912375,1984916.250,62448,4,EM,1,100,RS
1715670609.965051,1984966.500,62448,4,EM,1,100,RB
1715670610.017727,1985016.750,62448,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670610.070403,1985067.000,62448,4,EM,1,100,PS
1715670610.123342,1985117.500,62482,4,EM,1,100,RS
1715670610.176280,1985168.000,62482,4,EM,1,100,RB
1715670610.229218,1985218.500,62482,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670610.282156,1985269.000,62482,4,EM,1,100,PS
1715670610.334570,1985319.000,62517,4,EM,1,100,RS
1715670610.386984,1985369.000,62517,4,EM,1,100,RB
1715670610.439399,1985419.000,62517,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670610.491812,1985469.000,62517,4,EM,1,100,PS
1715670610.544489,1985519.250,62549,4,EM,1,100,RS
1715670610.597165,1985569.500,62549,4,EM,1,100,RB
1715670610.649841,1985619.750,62549,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670610.702517,1985670.000,62549,4,EM,1,100,PS
1715670610.777731,1985741.750,62583,4,EM,1,100,RS
1715670610.852946,1985813.500,62583,4,EM,1,100,RB
1715670610.928160,1985885.250,62583,4,EM,1,100,2024-05-14_12-39-56-615095.csv
1715670611.003374,1985957.000,62583,4,EM,1,100,PS
1715670611.056050,1986007.250,62617,4,EM,1,100,RS
1715670611.108727,1986057.500,62617,4,EM,1,100,RB
1715670611.161402,1986107.750,62617,4,EM,1,100,2024-05-14_12-39-56-615095.csv
