LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1715670652.522672,2025564,3437,1,BI,1,100,1270
1715670653.905356,2026883,3653,1,BI,1,100,1380
1715670654.745030,2027684,3788,1,BI,1,100,830
1715670655.713642,2028608,3937,1,BI,1,100,960
1715670656.938035,2029776,4136,1,BI,1,100,1220
1715670658.575452,2031338,4384,1,BI,1,100,1630
1715670659.577609,2032294,4551,1,BI,1,100,1000
1715670660.572428,2033243,4703,1,BI,1,100,990
1715670661.603938,2034227,4869,1,BI,1,100,1030
1715670662.617626,2035194,5035,1,BI,1,100,1010
1715670663.699453,2036226,5203,1,BI,1,100,1070
1715670664.734107,2037213,5368,1,BI,1,100,1030
1715670665.786582,2038217,5535,1,BI,1,100,1050
1715670666.800271,2039184,5685,1,BI,1,100,1000
1715670667.810815,2040148,5851,1,BI,1,100,1010
1715670668.765799,2041059,5986,1,BI,1,100,950
1715670669.785778,2042032,6152,1,BI,1,100,1020
1715670670.529009,2042741,6270,1,BI,1,100,740
1715670671.257565,2043436,6385,1,BI,1,100,720
1715670672.236660,2044370,6535,1,BI,1,100,980
1715670673.322680,2045406,6701,1,BI,1,100,1070
1715670674.469501,2046500,6886,1,BI,1,100,1150
1715670675.521976,2047504,7052,1,BI,1,100,1050
1715670676.479057,2048417,7202,1,BI,1,100,950
1715670677.613298,2049499,7369,1,BI,1,100,1120
1715670678.712945,2050548,7553,1,BI,1,100,1100
1715670679.768565,2051555,7719,1,BI,1,100,1050
1715670680.913289,2052647,7885,1,BI,1,100,1140
1715670681.989875,2053674,8068,1,BI,1,100,1080
1715670683.072750,2054707,8234,1,BI,1,100,1070
1715670684.201749,2055784,8402,1,BI,1,100,1120
1715670685.264707,2056798,8568,1,BI,1,100,1060
1715670686.311940,2057797,8735,1,BI,1,100,1050
1715670687.450375,2058883,8917,1,BI,1,100,1130
1715670688.491318,2059876,9067,1,BI,1,100,1030
1715670689.652815,2060984,9252,1,BI,1,100,1160
1715670690.743028,2062024,9435,1,BI,1,100,1090
1715670691.781875,2063015,9584,1,BI,1,100,1030
1715670692.892005,2064074,9768,1,BI,1,100,1110
1715670693.976977,2065109,9936,1,BI,1,100,1080
1715670694.994859,2066080,10102,1,BI,1,100,1010
1715670696.158452,2067190,10268,1,BI,1,100,1150
1715670697.286403,2068266,10451,1,BI,1,100,1130
1715670698.262353,2069197,10600,1,BI,1,100,970
1715670699.371435,2070255,10785,1,BI,1,100,1110
1715670700.414476,2071250,10935,1,BI,1,100,1030
1715670701.334867,2072128,11084,1,BI,1,100,910
1715670702.398873,2073143,11250,1,BI,1,100,1060
1715670703.470217,2074165,11416,1,BI,1,100,1070
1715670704.324567,2074980,11553,1,BI,1,100,850
1715670705.238669,2075852,11703,1,BI,1,100,910
1715670706.344606,2076907,11869,1,BI,1,100,1100
1715670707.517633,2078026,12051,1,BI,1,100,1160
1715670708.517694,2078980,12220,1,BI,1,100,1000
1715670709.507272,2079924,12369,1,BI,1,100,990
1715670710.612161,2080978,12536,1,BI,1,100,1090
1715670711.706568,2082022,12701,1,BI,1,100,1090
1715670712.709774,2082979,12867,1,BI,1,100,1000
1715670713.760152,2083981,13018,1,BI,1,100,1050
1715670714.889151,2085058,13202,1,BI,1,100,1120
1715670715.890260,2086013,13368,1,BI,1,100,1000
1715670717.050709,2087120,13534,1,BI,1,100,1150
1715670718.113666,2088134,13700,1,BI,1,100,1060
1715670719.182914,2089154,13885,1,BI,1,100,1070
1715670720.322396,2090241,14051,1,BI,1,100,1120
1715670721.488086,2091353,14234,1,BI,1,100,1170
1715670722.695706,2092505,14415,1,BI,1,100,1200
1715670723.844623,2093601,14600,1,BI,1,100,1140
1715670724.909677,2094617,14767,1,BI,1,100,1060
1715670726.056498,2095711,14949,1,BI,1,100,1140
1715670727.153000,2096757,15115,1,BI,1,100,1090
1715670728.263131,2097816,15299,1,BI,1,100,1100
1715670729.413096,2098913,15481,1,BI,1,100,1150
1715670730.465571,2099917,15647,1,BI,1,100,1040
1715670731.572556,2100973,15814,1,BI,1,100,1100
1715670732.701556,2102050,15997,1,BI,1,100,1130
1715670733.710003,2103012,16148,1,BI,1,100,1000
1715670734.859968,2104109,16332,1,BI,1,100,1140
1715670735.970099,2105168,16498,1,BI,1,100,1100
1715670737.045636,2106194,16664,1,BI,1,100,1080
1715670738.158911,2107256,16846,1,BI,1,100,1110
1715670739.303635,2108348,17032,1,BI,1,100,1130
1715670740.333048,2109330,17181,1,BI,1,100,1030
1715670741.416971,2110364,17364,1,BI,1,100,1080
1715670742.567985,2111462,17545,1,BI,1,100,1140
1715670743.611025,2112457,17713,1,BI,1,100,1040
1715670744.697045,2113493,17865,1,BI,1,100,1080
1715670745.892086,2114633,18049,1,BI,1,100,1180
1715670746.944561,2115637,18215,1,BI,1,100,1050
1715670748.084044,2116724,18397,1,BI,1,100,1140
1715670749.257071,2117843,18581,1,BI,1,100,1160
1715670750.265518,2118805,18732,1,BI,1,100,1010
1715670751.427014,2119913,18913,1,BI,1,100,1150
1715670752.514083,2120950,19079,1,BI,1,100,1080
