LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1715671342.427342,2683693.000,46462,1,BV,1,100,3.82
1715671347.423454,2688459.000,47210,1,BV,1,100,3.83
1715671352.414323,2693220.000,47972,1,BV,1,100,3.83
1715671357.409386,2697985.000,48710,1,BV,1,100,3.83
1715671362.399208,2702745.000,49366,1,BV,1,100,3.83
1715671367.397415,2707513.000,50143,1,BV,1,100,3.82
1715671372.385140,2712271.000,50920,1,BV,1,100,3.83
1715671377.380203,2717036.000,51701,1,BV,1,100,3.83
1715671382.367928,2721794.000,52456,1,BV,1,100,3.83
1715671387.358798,2726555.000,53227,1,BV,1,100,3.83
1715671392.350716,2731317.000,53942,1,BV,1,100,3.83
1715671397.339489,2736076.000,54644,1,BV,1,100,3.83
1715671402.330359,2740837.000,55444,1,BV,1,100,3.83
1715671407.318084,2745595.000,56222,1,BV,1,100,3.83
1715671412.310002,2750357.000,56986,1,BV,1,100,3.83
1715671417.299824,2755117.000,57762,1,BV,1,100,3.83
1715671422.292790,2759880.000,58559,1,BV,1,100,3.84
1715671427.284708,2764642.000,59339,1,BV,1,100,3.83
1715671432.279771,2769407.000,60135,1,BV,1,100,3.83
1715671437.270640,2774168.000,60916,1,BV,1,100,3.83
1715671442.265703,2778933.000,61711,1,BV,1,100,3.83
1715671447.251332,2783689.000,62488,1,BV,1,100,3.82
1715671452.243250,2788451.000,63263,1,BV,1,100,3.82
1715671457.230975,2793209.000,64073,1,BV,1,100,3.81
1715671462.219748,2797968.000,64838,1,BV,1,100,3.82
1715671467.208521,2802727.000,77,1,BV,1,100,3.83
1715671472.196246,2807485.000,891,1,BV,1,100,3.82
1715671477.185019,2812244.000,1681,1,BV,1,100,3.82
1715671482.174841,2817004.000,2476,1,BV,1,100,3.83
1715671487.162566,2821762.000,3275,1,BV,1,100,3.82
1715671492.151339,2826521.000,4071,1,BV,1,100,3.82
1715671497.141160,2831281.000,4868,1,BV,1,100,3.82
1715671502.128885,2836039.000,5677,1,BV,1,100,3.82
1715671507.122900,2840803.000,6475,1,BV,1,100,3.82
1715671512.109577,2845560.000,7274,1,BV,1,100,3.83
1715671517.104640,2850325.000,8070,1,BV,1,100,3.83
1715671522.092365,2855083.000,8882,1,BV,1,100,3.82
1715671527.083234,2859844.000,9667,1,BV,1,100,3.83
1715671532.073056,2864604.000,10473,1,BV,1,100,3.83
1715671537.067070,2869368.000,11280,1,BV,1,100,3.83
1715671542.055844,2874127.000,12057,1,BV,1,100,3.83
1715671547.051955,2878893.000,12853,1,BV,1,100,3.82
1715671552.040728,2883652.000,13667,1,BV,1,100,3.82
1715671557.034743,2888416.000,14464,1,BV,1,100,3.83
1715671562.023516,2893175.000,15255,1,BV,1,100,3.82
1715671567.017530,2897939.000,16069,1,BV,1,100,3.82
1715671572.010497,2902702.000,16849,1,BV,1,100,3.82
1715671577.005560,2907467.000,17661,1,BV,1,100,3.82
1715671581.997478,2912229.000,18452,1,BV,1,100,3.82
1715671586.991492,2916993.000,19241,1,BV,1,100,3.82
1715671591.984459,2921756.000,20036,1,BV,1,100,3.82
1715671596.977425,2926519.000,20838,1,BV,1,100,3.81
1715671601.970391,2931282.000,21631,1,BV,1,100,3.82
1715671606.959165,2936041.000,22409,1,BV,1,100,3.82
1715671611.953179,2940805.000,23208,1,BV,1,100,3.83
1715671616.945097,2945567.000,24005,1,BV,1,100,3.82
1715671621.939112,2950331.000,24814,1,BV,1,100,3.81
1715671626.927885,2955090.000,25609,1,BV,1,100,3.81
1715671631.927141,2959859.000,26402,1,BV,1,100,3.82
1715671636.914866,2964617.000,27181,1,BV,1,100,3.82
1715671641.914122,2969386.000,27991,1,BV,1,100,3.82
1715671646.902895,2974145.000,28771,1,BV,1,100,3.81
1715671651.900055,2978912.000,29583,1,BV,1,100,3.82
1715671656.889876,2983672.000,30375,1,BV,1,100,3.82
1715671661.882843,2988435.000,31188,1,BV,1,100,3.81
1715671666.873712,2993196.000,31958,1,BV,1,100,3.81
1715671671.866679,2997959.000,32769,1,BV,1,100,3.82
1715671676.857548,3002720.000,33553,1,BV,1,100,3.81
1715671681.848418,3007481.000,34346,1,BV,1,100,3.82
1715671686.840336,3012243.000,35130,1,BV,1,100,3.81
1715671691.829109,3017002.000,35909,1,BV,1,100,3.82
1715671696.819979,3021763.000,36662,1,BV,1,100,3.81
1715671701.807704,3026521.000,37454,1,BV,1,100,3.81
1715671706.798574,3031282.000,38252,1,BV,1,100,3.82
1715671711.786299,3036040.000,39028,1,BV,1,100,3.81
1715671716.778217,3040802.000,39822,1,BV,1,100,3.81
1715671721.768038,3045562.000,40601,1,BV,1,100,3.82
1715671726.758908,3050323.000,41365,1,BV,1,100,3.82
1715671731.747681,3055082.000,42132,1,BV,1,100,3.81
1715671736.741696,3059846.000,42892,1,BV,1,100,3.82
1715671741.732566,3064607.000,43523,1,BV,1,100,3.81
1715671746.726580,3069371.000,44317,1,BV,1,100,3.82
1715671751.719547,3074134.000,45097,1,BV,1,100,3.82
1715671756.709368,3078894.000,45894,1,BV,1,100,3.82
1715671761.703383,3083658.000,46640,1,BV,1,100,3.81
1715671766.692156,3088417.000,47364,1,BV,1,100,3.82
1715671771.688267,3093183.000,48129,1,BV,1,100,3.81
1715671776.680185,3097945.000,48795,1,BV,1,100,3.81
1715671781.674200,3102709.000,49593,1,BV,1,100,3.81
1715671786.667166,3107472.000,50375,1,BV,1,100,3.80
1715671791.662229,3112237.000,51142,1,BV,1,100,3.82
1715671796.648906,3116994.000,51934,1,BV,1,100,3.81
1715671801.640824,3121756.000,52682,1,BV,1,100,3.81
1715671806.629597,3126515.000,53449,1,BV,1,100,3.82
1715671811.618370,3131274.000,54216,1,BV,1,100,3.82
1715671816.607143,3136033.000,54966,1,BV,1,100,3.81
1715671821.595917,3140792.000,55738,1,BV,1,100,3.82
1715671826.586787,3145553.000,56494,1,BV,1,100,3.82
1715671831.575560,3150312.000,57264,1,BV,1,100,3.82
1715671836.569574,3155076.000,58017,1,BV,1,100,3.82
1715671841.558347,3159835.000,58803,1,BV,1,100,3.81
1715671846.552362,3164599.000,59570,1,BV,1,100,3.82
1715671851.541135,3169358.000,60338,1,BV,1,100,3.81
1715671856.541440,3174128.000,61112,1,BV,1,100,3.81
1715671861.530213,3178887.000,61870,1,BV,1,100,3.81
1715671866.520034,3183647.000,62659,1,BV,1,100,3.81
1715671871.507759,3188405.000,63402,1,BV,1,100,3.81
1715671876.500726,3193168.000,64178,1,BV,1,100,3.81
1715671881.489499,3197927.000,64936,1,BV,1,100,3.81
1715671886.480369,3202688.000,174,1,BV,1,100,3.81
1715671891.468093,3207446.000,960,1,BV,1,100,3.80
1715671896.455818,3212204.000,1736,1,BV,1,100,3.80
1715671901.446688,3216965.000,2525,1,BV,1,100,3.81
1715671906.434413,3221723.000,3321,1,BV,1,100,3.81
1715671911.425283,3226484.000,4117,1,BV,1,100,3.81
1715671916.415104,3231244.000,4928,1,BV,1,100,3.81
1715671921.407022,3236006.000,5721,1,BV,1,100,3.81
1715671926.396844,3240766.000,6514,1,BV,1,100,3.81
1715671931.392955,3245532.000,7305,1,BV,1,100,3.81
1715671936.381728,3250291.000,8084,1,BV,1,100,3.81
1715671941.377840,3255057.000,8884,1,BV,1,100,3.81
1715671946.370806,3259820.000,9683,1,BV,1,100,3.81
1715671951.366917,3264586.000,10478,1,BV,1,100,3.81
1715671956.358835,3269348.000,11252,1,BV,1,100,3.80
1715671961.353898,3274113.000,12061,1,BV,1,100,3.81
1715671966.348961,3278878.000,12849,1,BV,1,100,3.81
1715671971.340879,3283640.000,13655,1,BV,1,100,3.82
1715671976.331749,3288401.000,14468,1,BV,1,100,3.81
1715671981.324715,3293164.000,15250,1,BV,1,100,3.81
1715671986.315585,3297925.000,16045,1,BV,1,100,3.81
1715671991.309599,3302689.000,16821,1,BV,1,100,3.81
1715671996.304662,3307454.000,17613,1,BV,1,100,3.80
1715672001.292387,3312212.000,18410,1,BV,1,100,3.81
1715672006.288498,3316978.000,19184,1,BV,1,100,3.80
