LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,LR,LM,LC,LD,
1715671689.141315,3014438,35461,8,LM,1,100,487123.3268036,2232447.6365361,487123.3476705,16,
1715671689.899223,3015161,35580,8,LM,1,100,487124.1267501,2232448.4364826,487124.1475267,15,
1715671690.755669,3015978,35717,8,LM,1,100,487124.6269227,2232448.9366552,487124.6472812,18,
1715671691.267230,3016466,35804,8,LM,1,100,487125.3938670,2232449.7035897,487125.4143678,14,
1715671691.733716,3016911,35873,8,LM,1,100,487125.9768825,2232450.2866052,487125.9804579,16,
1715671692.458079,3017602,35993,8,LM,1,100,487126.6603193,2232450.9700420,487126.6811531,14,
1715671692.998992,3018118,36079,8,LM,1,100,487127.1940441,2232451.5037668,487127.2146476,16,
1715671693.741175,3018826,36196,8,LM,1,100,487127.9935510,2232452.3032485,487128.0140179,14,
1715671694.449814,3019502,36260,8,LM,1,100,487128.5769824,2232452.8866798,487128.5804564,16,
1715671695.020079,3020046,36347,8,LM,1,100,487129.2602018,2232453.5698825,487129.2814411,14,
1715671695.575669,3020576,36432,8,LM,1,100,487129.8438329,2232454.1535136,487129.8472772,16,
1715671696.339866,3021305,36556,8,LM,1,100,487130.5436459,2232454.8533266,487130.5475244,14,
1715671696.854573,3021796,36642,8,LM,1,100,487131.1103599,2232455.4200406,487131.1145825,16,
1715671697.604094,3022511,36765,8,LM,1,100,487131.7936804,2232456.1033456,487131.8154563,14,
1715671698.224677,3023103,36864,8,LM,1,100,487132.3603303,2232456.6699955,487132.3816607,16,
1715671698.862032,3023711,36968,8,LM,1,100,487133.0770326,2232457.3866978,487133.0810664,14,
1715671699.405042,3024229,37056,8,LM,1,100,487133.6603248,2232457.9699808,487133.6813083,16,
1715671700.128357,3024919,37165,8,LM,1,100,487134.3436708,2232458.6533268,487134.3472079,15,
1715671700.677656,3025443,37252,8,LM,1,100,487134.8942452,2232459.2039012,487134.9138681,18,
1715671701.523620,3026250,37385,8,LM,1,100,487135.6942221,2232460.0038952,487135.7146886,14,
1715671701.957608,3026664,37456,8,LM,1,100,487136.2102849,2232460.5199580,487136.2141603,16,
1715671702.702937,3027375,37579,8,LM,1,100,487136.9769313,2232461.2866044,487136.9808047,14,
1715671703.322471,3027966,37683,8,LM,1,100,487137.5269774,2232461.8366153,487137.5479459,16,
1715671703.958778,3028573,37785,8,LM,1,100,487138.2102333,2232462.5198712,487138.2140207,14,
1715671704.602423,3029187,37887,8,LM,1,100,487138.8103460,2232463.1199839,487138.8141169,16,
