LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1715670633.193404,2007125.000,430,1,TH,1,100,36.018
1715670633.324439,2007250.000,448,1,TH,1,100,36.018
1715670633.454426,2007374.000,464,1,TH,1,100,36.033
1715670633.587558,2007501.000,496,1,TH,1,100,36.033
1715670633.721738,2007629.000,515,1,TH,1,100,36.031
1715670633.854870,2007756.000,533,1,TH,1,100,36.031
1715670633.989050,2007884.000,551,1,TH,1,100,36.059
1715670634.124278,2008013.000,582,1,TH,1,100,36.059
1715670634.255313,2008138.000,599,1,TH,1,100,35.960
1715670634.389493,2008266.000,616,1,TH,1,100,35.960
1715670634.520529,2008391.000,632,1,TH,1,100,36.061
1715670634.653660,2008518.000,650,1,TH,1,100,36.061
1715670634.786792,2008645.000,681,1,TH,1,100,35.992
1715670634.922020,2008774.000,697,1,TH,1,100,35.992
1715670635.054104,2008900.000,715,1,TH,1,100,36.010
1715670635.188284,2009028.000,746,1,TH,1,100,36.010
1715670635.324561,2009158.000,763,1,TH,1,100,36.054
1715670635.456644,2009284.000,780,1,TH,1,100,36.054
1715670635.587679,2009409.000,796,1,TH,1,100,35.995
1715670635.719763,2009535.000,830,1,TH,1,100,35.995
1715670635.851846,2009661.000,847,1,TH,1,100,36.064
1715670635.987075,2009790.000,864,1,TH,1,100,36.064
1715670636.121255,2009918.000,881,1,TH,1,100,35.972
1715670636.253338,2010044.000,913,1,TH,1,100,35.972
1715670636.389615,2010174.000,929,1,TH,1,100,36.004
1715670636.521698,2010300.000,946,1,TH,1,100,36.004
1715670636.653782,2010426.000,963,1,TH,1,100,36.064
1715670636.783769,2010550.000,996,1,TH,1,100,36.071
1715670636.916901,2010677.000,1014,1,TH,1,100,35.988
1715670637.051081,2010805.000,1030,1,TH,1,100,35.981
1715670637.184213,2010932.000,1047,1,TH,1,100,36.087
1715670637.318393,2011060.000,1079,1,TH,1,100,36.087
1715670637.453621,2011189.000,1095,1,TH,1,100,35.995
1715670637.585705,2011315.000,1112,1,TH,1,100,36.002
1715670637.719885,2011443.000,1129,1,TH,1,100,36.045
1715670637.850920,2011568.000,1162,1,TH,1,100,36.038
1715670637.984052,2011695.000,1180,1,TH,1,100,36.036
1715670638.116135,2011821.000,1196,1,TH,1,100,36.036
1715670638.251364,2011950.000,1213,1,TH,1,100,36.022
1715670638.383447,2012076.000,1245,1,TH,1,100,36.022
1715670638.517627,2012204.000,1261,1,TH,1,100,35.951
1715670638.653904,2012334.000,1279,1,TH,1,100,35.951
1715670638.785987,2012460.000,1299,1,TH,1,100,36.059
1715670638.917022,2012585.000,1331,1,TH,1,100,36.059
1715670639.048058,2012710.000,1348,1,TH,1,100,36.043
1715670639.180141,2012836.000,1364,1,TH,1,100,36.043
1715670639.315370,2012965.000,1382,1,TH,1,100,36.027
1715670639.449550,2013093.000,1413,1,TH,1,100,36.027
1715670639.581633,2013219.000,1429,1,TH,1,100,35.981
1715670639.717910,2013349.000,1449,1,TH,1,100,35.981
1715670639.849993,2013475.000,1480,1,TH,1,100,35.987
1715670639.983125,2013602.000,1497,1,TH,1,100,35.987
1715670640.113112,2013726.000,1514,1,TH,1,100,36.022
1715670640.246244,2013853.000,1530,1,TH,1,100,36.022
1715670640.379376,2013980.000,1562,1,TH,1,100,35.992
1715670640.512507,2014107.000,1579,1,TH,1,100,35.992
1715670640.646688,2014235.000,1598,1,TH,1,100,36.033
1715670640.781916,2014364.000,1615,1,TH,1,100,36.033
1715670640.915048,2014491.000,1649,1,TH,1,100,36.010
1715670641.049228,2014619.000,1665,1,TH,1,100,36.018
1715670641.180263,2014744.000,1682,1,TH,1,100,35.995
1715670641.312346,2014870.000,1699,1,TH,1,100,35.987
1715670641.444430,2014996.000,1730,1,TH,1,100,36.052
1715670641.579659,2015125.000,1748,1,TH,1,100,36.052
