LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1715670604.852056,1980089.000,61675,3,AY,1,100,0.082
1715670604.892939,1980128.000,61690,2,AY,1,100,0.063
1715670604.933822,1980167.000,61690,2,AY,1,100,0.116
1715670604.973657,1980205.000,61707,3,AY,1,100,0.114
1715670605.013492,1980243.000,61707,3,AY,1,100,0.095
1715670605.053326,1980281.000,61707,3,AY,1,100,0.064
1715670605.093511,1980319.333,61723,3,AY,1,100,0.103
1715670605.133695,1980357.667,61723,3,AY,1,100,0.101
1715670605.173879,1980396.000,61723,3,AY,1,100,0.078
1715670605.213189,1980433.500,61740,2,AY,1,100,0.084
1715670605.252500,1980471.000,61740,2,AY,1,100,0.054
1715670605.291985,1980508.667,61757,3,AY,1,100,0.093
1715670605.331470,1980546.333,61757,3,AY,1,100,0.115
1715670605.370956,1980584.000,61757,3,AY,1,100,0.092
1715670605.410790,1980622.000,61773,3,AY,1,100,0.093
1715670605.450625,1980660.000,61773,3,AY,1,100,0.088
1715670605.490460,1980698.000,61773,3,AY,1,100,0.097
1715670605.530819,1980736.500,61788,2,AY,1,100,0.094
1715670605.571178,1980775.000,61788,2,AY,1,100,0.111
1715670605.610663,1980812.667,61806,3,AY,1,100,0.094
1715670605.650148,1980850.333,61806,3,AY,1,100,0.080
1715670605.689634,1980888.000,61806,3,AY,1,100,0.089
1715670605.730167,1980926.667,61822,3,AY,1,100,0.080
1715670605.770701,1980965.333,61822,3,AY,1,100,0.099
1715670605.811234,1981004.000,61822,3,AY,1,100,0.086
1715670605.857359,1981048.000,61839,2,AY,1,100,0.067
1715670605.903483,1981092.000,61839,2,AY,1,100,0.073
1715670605.944366,1981131.000,61854,2,AY,1,100,0.100
1715670605.985249,1981170.000,61854,2,AY,1,100,0.102
1715670606.025084,1981208.000,61871,3,AY,1,100,0.101
1715670606.064919,1981246.000,61871,3,AY,1,100,0.097
1715670606.104753,1981284.000,61871,3,AY,1,100,0.095
1715670606.145287,1981322.667,61887,3,AY,1,100,0.094
1715670606.185820,1981361.333,61887,3,AY,1,100,0.094
1715670606.226354,1981400.000,61887,3,AY,1,100,0.100
1715670606.265664,1981437.500,61904,2,AY,1,100,0.094
1715670606.304975,1981475.000,61904,2,AY,1,100,0.097
1715670606.344810,1981513.000,61921,3,AY,1,100,0.099
1715670606.384644,1981551.000,61921,3,AY,1,100,0.092
1715670606.424479,1981589.000,61921,3,AY,1,100,0.100
1715670606.463615,1981626.333,61937,3,AY,1,100,0.101
1715670606.502751,1981663.667,61937,3,AY,1,100,0.094
1715670606.541887,1981701.000,61937,3,AY,1,100,0.094
1715670606.581023,1981738.333,61952,3,AY,1,100,0.098
1715670606.620158,1981775.667,61952,3,AY,1,100,0.098
1715670606.659294,1981813.000,61952,3,AY,1,100,0.094
1715670606.699129,1981851.000,61970,2,AY,1,100,0.095
1715670606.738964,1981889.000,61970,2,AY,1,100,0.097
1715670606.779497,1981927.667,61988,3,AY,1,100,0.095
1715670606.820031,1981966.333,61988,3,AY,1,100,0.098
1715670606.860564,1982005.000,61988,3,AY,1,100,0.099
1715670606.900399,1982043.000,62005,2,AY,1,100,0.096
1715670606.940234,1982081.000,62005,2,AY,1,100,0.097
1715670606.980767,1982119.667,62020,3,AY,1,100,0.098
1715670607.021301,1982158.333,62020,3,AY,1,100,0.101
1715670607.061834,1982197.000,62020,3,AY,1,100,0.098
1715670607.101879,1982235.200,62040,5,AY,1,100,0.093
1715670607.141923,1982273.400,62040,5,AY,1,100,0.097
1715670607.181967,1982311.600,62040,5,AY,1,100,0.104
1715670607.222012,1982349.800,62040,5,AY,1,100,0.096
1715670607.262056,1982388.000,62040,5,AY,1,100,0.098
1715670607.301542,1982425.667,62057,3,AY,1,100,0.099
1715670607.341027,1982463.333,62057,3,AY,1,100,0.096
1715670607.380512,1982501.000,62057,3,AY,1,100,0.098
1715670607.419997,1982538.667,62074,3,AY,1,100,0.099
1715670607.459483,1982576.333,62074,3,AY,1,100,0.100
1715670607.498968,1982614.000,62074,3,AY,1,100,0.095
1715670607.538803,1982652.000,62088,2,AY,1,100,0.097
1715670607.578637,1982690.000,62088,2,AY,1,100,0.096
1715670607.618123,1982727.667,62106,3,AY,1,100,0.098
1715670607.657608,1982765.333,62106,3,AY,1,100,0.101
1715670607.697093,1982803.000,62106,3,AY,1,100,0.097
1715670607.737277,1982841.333,62122,3,AY,1,100,0.095
1715670607.777462,1982879.667,62122,3,AY,1,100,0.094
1715670607.817646,1982918.000,62122,3,AY,1,100,0.097
1715670607.857480,1982956.000,62139,2,AY,1,100,0.095
1715670607.897315,1982994.000,62139,2,AY,1,100,0.094
1715670607.937849,1983032.667,62156,3,AY,1,100,0.095
1715670607.978382,1983071.333,62156,3,AY,1,100,0.095
1715670608.018916,1983110.000,62156,3,AY,1,100,0.097
1715670608.059275,1983148.500,62171,2,AY,1,100,0.095
1715670608.099633,1983187.000,62171,2,AY,1,100,0.092
1715670608.139468,1983225.000,62187,3,AY,1,100,0.100
1715670608.179303,1983263.000,62187,3,AY,1,100,0.094
1715670608.219138,1983301.000,62187,3,AY,1,100,0.090
1715670608.259322,1983339.333,62204,3,AY,1,100,0.098
1715670608.299506,1983377.667,62204,3,AY,1,100,0.100
1715670608.339690,1983416.000,62204,3,AY,1,100,0.096
1715670608.380049,1983454.500,62221,2,AY,1,100,0.093
1715670608.420408,1983493.000,62221,2,AY,1,100,0.097
1715670608.460592,1983531.333,62237,3,AY,1,100,0.095
1715670608.500776,1983569.667,62237,3,AY,1,100,0.094
1715670608.540960,1983608.000,62237,3,AY,1,100,0.096
1715670608.580445,1983645.667,62254,3,AY,1,100,0.094
1715670608.619931,1983683.333,62254,3,AY,1,100,0.096
1715670608.659416,1983721.000,62254,3,AY,1,100,0.095
1715670608.698726,1983758.500,62274,2,AY,1,100,0.094
1715670608.738037,1983796.000,62274,2,AY,1,100,0.097
1715670608.777722,1983833.857,62291,7,AY,1,100,0.094
1715670608.817407,1983871.714,62291,7,AY,1,100,0.097
1715670608.857092,1983909.571,62291,7,AY,1,100,0.097
1715670608.896777,1983947.429,62291,7,AY,1,100,0.096
1715670608.936462,1983985.286,62291,7,AY,1,100,0.095
1715670608.976147,1984023.143,62291,7,AY,1,100,0.096
1715670609.015832,1984061.000,62291,7,AY,1,100,0.095
1715670609.056365,1984099.667,62308,3,AY,1,100,0.099
1715670609.096899,1984138.333,62308,3,AY,1,100,0.094
1715670609.137432,1984177.000,62308,3,AY,1,100,0.098
1715670609.177267,1984215.000,62325,2,AY,1,100,0.093
1715670609.217102,1984253.000,62325,2,AY,1,100,0.096
1715670609.262527,1984296.333,62342,3,AY,1,100,0.094
1715670609.307953,1984339.667,62342,3,AY,1,100,0.097
1715670609.353379,1984383.000,62342,3,AY,1,100,0.096
1715670609.392689,1984420.500,62359,2,AY,1,100,0.093
1715670609.432000,1984458.000,62359,2,AY,1,100,0.097
1715670609.472533,1984496.667,62375,3,AY,1,100,0.097
1715670609.513067,1984535.333,62375,3,AY,1,100,0.092
1715670609.553600,1984574.000,62375,3,AY,1,100,0.108
1715670609.593086,1984611.667,62392,3,AY,1,100,0.111
1715670609.632571,1984649.333,62392,3,AY,1,100,0.090
1715670609.672056,1984687.000,62392,3,AY,1,100,0.097
1715670609.711891,1984725.000,62409,2,AY,1,100,0.098
1715670609.751726,1984763.000,62409,2,AY,1,100,0.096
1715670609.790861,1984800.333,62425,3,AY,1,100,0.092
1715670609.829997,1984837.667,62425,3,AY,1,100,0.098
1715670609.869133,1984875.000,62425,3,AY,1,100,0.098
1715670609.908269,1984912.333,62440,3,AY,1,100,0.092
1715670609.947405,1984949.667,62440,3,AY,1,100,0.093
1715670609.986541,1984987.000,62440,3,AY,1,100,0.098
1715670610.026376,1985025.000,62458,2,AY,1,100,0.096
1715670610.066210,1985063.000,62458,2,AY,1,100,0.094
1715670610.106744,1985101.667,62474,3,AY,1,100,0.098
1715670610.147277,1985140.333,62474,3,AY,1,100,0.096
1715670610.187811,1985179.000,62474,3,AY,1,100,0.097
1715670610.227646,1985217.000,62493,3,AY,1,100,0.096
1715670610.267480,1985255.000,62493,3,AY,1,100,0.093
1715670610.307315,1985293.000,62493,3,AY,1,100,0.100
1715670610.348198,1985332.000,62509,2,AY,1,100,0.095
1715670610.389081,1985371.000,62509,2,AY,1,100,0.098
