LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL,LC,
1715670846.879364,2210969,34046,4,TX,1,100,2024-05-14_12-44-06-899833,486281.1726971,
1715670847.410843,2211476,34133,4,TX,1,100,2024-05-14_12-44-07-433175,486281.7060389,
1715670848.142544,2212174,34252,4,TX,1,100,2024-05-14_12-44-08-166371,486282.4392349,
1715670848.667733,2212675,34340,4,TX,1,100,2024-05-14_12-44-08-666378,486282.9392425,
1715670849.533614,2213501,34465,4,TX,1,100,2024-05-14_12-44-09-399856,486283.6727201,
1715670850.012679,2213958,34535,4,TX,1,100,2024-05-14_12-44-09-932912,486284.2057765,
1715670850.732848,2214645,34655,4,TX,1,100,2024-05-14_12-44-10-700181,486284.9730450,
1715670851.317790,2215203,34740,4,TX,1,100,2024-05-14_12-44-11-299838,486285.5727021,
1715670852.061021,2215912,34861,4,TX,1,100,2024-05-14_12-44-12-033534,486286.3063982,
1715670852.576776,2216404,34947,4,TX,1,100,2024-05-14_12-44-12-566802,486286.8396664,
1715670853.327346,2217120,35068,4,TX,1,100,2024-05-14_12-44-13-300258,486287.5731226,
1715670854.322165,2218069,35221,4,TX,1,100,2024-05-14_12-44-13-900146,486288.1730102,
1715670854.631408,2218364,35274,4,TX,1,100,2024-05-14_12-44-14-533308,486288.8061721,
1715670855.102087,2218813,35332,4,TX,1,100,2024-05-14_12-44-15-033488,486289.3063526,
1715670855.823305,2219501,35452,4,TX,1,100,2024-05-14_12-44-15-833979,486290.1068435,
1715670856.356880,2220010,35538,4,TX,1,100,2024-05-14_12-44-16-367101,486290.6399625,
1715670857.137850,2220755,35657,4,TX,1,100,2024-05-14_12-44-17-166433,486291.4392911,
1715670857.760530,2221349,35760,4,TX,1,100,2024-05-14_12-44-17-733786,486292.0066500,
1715670858.404175,2221963,35864,4,TX,1,100,2024-05-14_12-44-18-366416,486292.6392799,
1715670859.043627,2222573,35968,4,TX,1,100,2024-05-14_12-44-18-966501,486293.2393648,
1715670859.705092,2223204,36069,4,TX,1,100,2024-05-14_12-44-19-666458,486293.9393223,
1715670860.358172,2223827,36164,4,TX,1,100,2024-05-14_12-44-20-199767,486294.4726311,
1715670861.043748,2224481,36269,4,TX,1,100,2024-05-14_12-44-20-999564,486295.2724276,
1715670861.587807,2225000,36354,4,TX,1,100,2024-05-14_12-44-21-566807,486295.8396709,
1715670862.306928,2225686,36472,4,TX,1,100,2024-05-14_12-44-22-266482,486296.5393461,
1715670862.832117,2226187,36558,4,TX,1,100,2024-05-14_12-44-22-833222,486297.1060863,
1715670863.486245,2226811,36664,4,TX,1,100,2024-05-14_12-44-23-499561,486297.7724247,
1715670864.117311,2227413,36768,4,TX,1,100,2024-05-14_12-44-24-099948,486298.3728121,
1715670864.856349,2228118,36886,4,TX,1,100,2024-05-14_12-44-24-766408,486299.0392718,
1715670865.382587,2228620,36973,4,TX,1,100,2024-05-14_12-44-25-366580,486299.6394445,
1715670866.069211,2229275,37065,4,TX,1,100,2024-05-14_12-44-26-099884,486300.3727485,
1715670867.319812,2230468,37268,4,TX,1,100,2024-05-14_12-44-27-334292,486301.6071560,
1715670867.954022,2231073,37371,4,TX,1,100,2024-05-14_12-44-27-900516,486302.1733797,
1715670868.613391,2231702,37477,4,TX,1,100,2024-05-14_12-44-28-633365,486302.9062287,
1715670869.225588,2232286,37579,4,TX,1,100,2024-05-14_12-44-29-200075,486303.4729387,
1715670870.194201,2233210,37701,4,TX,1,100,2024-05-14_12-44-29-900362,486304.1732258,
1715670870.489816,2233492,37754,4,TX,1,100,2024-05-14_12-44-30-500403,486304.7732669,
1715670871.288607,2234254,37864,4,TX,1,100,2024-05-14_12-44-31-233718,486305.5065817,
1715670871.804361,2234746,37950,4,TX,1,100,2024-05-14_12-44-31-800399,486306.0732633,
1715670872.744670,2235643,38103,4,TX,1,100,2024-05-14_12-44-32-733880,486307.0067439,
1715670873.343239,2236214,38192,4,TX,1,100,2024-05-14_12-44-33-300479,486307.5733436,
1715670873.974305,2236816,38296,4,TX,1,100,2024-05-14_12-44-34-001175,486308.2740393,
1715670874.507880,2237325,38381,4,TX,1,100,2024-05-14_12-44-34-533996,486308.8068597,
1715670875.171443,2237958,38485,4,TX,1,100,2024-05-14_12-44-35-199927,486309.4727912,
1715670875.706066,2238468,38573,4,TX,1,100,2024-05-14_12-44-35-733339,486310.0062030,
1715670876.680968,2239398,38713,4,TX,1,100,2024-05-14_12-44-36-533626,486310.8064902,
1715670877.016418,2239718,38767,4,TX,1,100,2024-05-14_12-44-37-034239,486311.3071030,
1715670877.847706,2240511,38904,4,TX,1,100,2024-05-14_12-44-37-833670,486312.1065342,
1715670878.397006,2241035,38992,4,TX,1,100,2024-05-14_12-44-38-334048,486312.6069120,
1715670879.064761,2241672,39094,4,TX,1,100,2024-05-14_12-44-39-067199,486313.3400633,
1715670879.682199,2242261,39198,4,TX,1,100,2024-05-14_12-44-39-666637,486313.9395015,
1715670880.341568,2242890,39300,4,TX,1,100,2024-05-14_12-44-40-366670,486314.6395346,
1715670880.952717,2243473,39399,4,TX,1,100,2024-05-14_12-44-40-900009,486315.1728735,
1715670881.639341,2244128,39503,4,TX,1,100,2024-05-14_12-44-41-667295,486315.9401593,
1715670882.248393,2244709,39595,4,TX,1,100,2024-05-14_12-44-42-267533,486316.5403976,
1715670882.884700,2245316,39699,4,TX,1,100,2024-05-14_12-44-42-900932,486317.1737958,
1715670883.537780,2245939,39803,4,TX,1,100,2024-05-14_12-44-43-500090,486317.7729545,
1715670884.213922,2246584,39906,4,TX,1,100,2024-05-14_12-44-44-234031,486318.5068950,
1715670884.815635,2247158,40008,4,TX,1,100,2024-05-14_12-44-44-767028,486319.0398920,
1715670885.588219,2247895,40128,4,TX,1,100,2024-05-14_12-44-45-567374,486319.8402384,
1715670886.150098,2248431,40214,4,TX,1,100,2024-05-14_12-44-46-100153,486320.3730174,
1715670886.760198,2249013,40317,4,TX,1,100,2024-05-14_12-44-46-767385,486321.0402487,
