LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1715670608.810369,1983865.000,62288,2,T1,1,100,36.933
1715670608.942452,1983991.000,62288,2,T1,1,100,36.971
1715670609.076632,1984119.000,62305,1,T1,1,100,37.023
1715670609.210812,1984247.000,62322,1,T1,1,100,37.081
1715670609.346040,1984376.000,62339,1,T1,1,100,37.141
1715670609.479172,1984503.000,62372,1,T1,1,100,37.132
1715670609.612304,1984630.000,62389,1,T1,1,100,37.093
1715670609.744388,1984756.000,62406,1,T1,1,100,37.111
1715670609.874375,1984880.000,62423,1,T1,1,100,36.977
1715670610.005410,1985005.000,62455,1,T1,1,100,36.990
1715670610.141686,1985135.000,62471,1,T1,1,100,37.031
1715670610.273770,1985261.000,62490,1,T1,1,100,36.978
1715670610.408998,1985390.000,62507,1,T1,1,100,36.920
1715670610.542130,1985517.000,62538,1,T1,1,100,37.036
1715670610.674214,1985643.000,62556,1,T1,1,100,37.016
1715670610.808394,1985771.000,62572,1,T1,1,100,37.042
1715670610.940477,1985897.000,62589,1,T1,1,100,37.018
1715670611.071512,1986022.000,62606,1,T1,1,100,37.008
1715670611.207789,1986152.000,62623,1,T1,1,100,36.968
1715670611.340921,1986279.000,62657,1,T1,1,100,36.986
1715670611.474053,1986406.000,62673,1,T1,1,100,37.065
1715670611.608233,1986534.000,62690,1,T1,1,100,36.957
1715670611.741364,1986661.000,62707,1,T1,1,100,37.017
1715670611.874496,1986788.000,62738,1,T1,1,100,37.007
1715670612.006580,1986914.000,62756,1,T1,1,100,36.968
1715670612.138663,1987040.000,62772,1,T1,1,100,37.092
1715670612.269699,1987165.000,62791,1,T1,1,100,37.005
1715670612.403879,1987293.000,62823,1,T1,1,100,37.037
1715670612.538059,1987421.000,62840,1,T1,1,100,37.016
1715670612.673287,1987550.000,62858,1,T1,1,100,36.972
1715670612.806419,1987677.000,62874,1,T1,1,100,36.988
1715670612.939551,1987804.000,62891,1,T1,1,100,36.959
1715670613.071634,1987930.000,62908,1,T1,1,100,36.947
1715670613.202669,1988055.000,62924,1,T1,1,100,36.977
1715670613.333705,1988180.000,62943,1,T1,1,100,37.026
1715670613.469981,1988310.000,62974,1,T1,1,100,37.046
1715670613.602065,1988436.000,62991,1,T1,1,100,36.985
1715670613.737293,1988565.000,63010,1,T1,1,100,37.029
1715670613.870425,1988692.000,63027,1,T1,1,100,37.048
1715670614.002508,1988818.000,63059,1,T1,1,100,36.985
1715670614.137737,1988947.000,63075,1,T1,1,100,36.923
1715670614.268772,1989072.000,63092,1,T1,1,100,37.037
1715670614.399807,1989197.000,63111,1,T1,1,100,37.052
1715670614.535036,1989326.000,63142,1,T1,1,100,37.093
1715670614.668167,1989453.000,63160,1,T1,1,100,37.040
1715670614.801299,1989580.000,63176,1,T1,1,100,37.053
1715670614.935479,1989708.000,63193,1,T1,1,100,36.987
1715670615.068611,1989835.000,63226,1,T1,1,100,36.995
1715670615.201743,1989962.000,63242,1,T1,1,100,36.891
1715670615.333826,1990088.000,63262,1,T1,1,100,36.988
1715670615.465910,1990214.000,63278,1,T1,1,100,36.995
1715670615.596945,1990339.000,63295,1,T1,1,100,36.962
1715670615.731125,1990467.000,63327,1,T1,1,100,36.948
1715670615.865305,1990595.000,63343,1,T1,1,100,36.907
1715670616.000534,1990724.000,63361,1,T1,1,100,36.960
1715670616.133665,1990851.000,63392,1,T1,1,100,37.053
1715670616.266797,1990978.000,63409,1,T1,1,100,37.059
1715670616.399929,1991105.000,63426,1,T1,1,100,37.025
1715670616.530964,1991230.000,63444,1,T1,1,100,37.046
