LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1715670612.013918,1986921.000,62750,1,SF,1,100,0.0042
1715670612.343078,1987235.000,62801,1,SF,1,100,0.0041
1715670612.745619,1987619.000,62852,1,SF,1,100,0.0041
1715670613.078972,1987937.000,62902,1,SF,1,100,0.0040
1715670613.341043,1988187.000,62937,1,SF,1,100,0.0040
1715670613.743583,1988571.000,63004,1,SF,1,100,0.0039
1715670614.076936,1988889.000,63053,1,SF,1,100,0.0039
1715670614.407145,1989204.000,63105,1,SF,1,100,0.0038
1715670614.674457,1989459.000,63154,1,SF,1,100,0.0038
1715670615.007811,1989777.000,63203,1,SF,1,100,0.0038
1715670615.341164,1990095.000,63256,1,SF,1,100,0.0037
1715670615.670325,1990409.000,63305,1,SF,1,100,0.0037
1715670616.007872,1990731.000,63355,1,SF,1,100,0.0036
1715670616.339128,1991047.000,63403,1,SF,1,100,0.0036
1715670616.736427,1991426.000,63471,1,SF,1,100,0.0035
1715670617.071877,1991746.000,63521,1,SF,1,100,0.0035
1715670617.339190,1992001.000,63571,1,SF,1,100,0.0035
1715670617.737536,1992381.000,63622,1,SF,1,100,0.0034
1715670618.071939,1992700.000,63670,1,SF,1,100,0.0034
1715670618.338202,1992954.000,63721,1,SF,1,100,0.0033
1715670618.671556,1993272.000,63771,1,SF,1,100,0.0033
1715670619.000716,1993586.000,63822,1,SF,1,100,0.0033
1715670619.337215,1993907.000,63872,1,SF,1,100,0.0032
1715670619.669520,1994224.000,63923,1,SF,1,100,0.0032
1715670619.999729,1994539.000,63973,1,SF,1,100,0.0032
1715670620.402269,1994923.000,64038,1,SF,1,100,0.0031
1715670620.736671,1995242.000,64089,1,SF,1,100,0.0031
1715670621.001886,1995495.000,64139,1,SF,1,100,0.0030
1715670621.334192,1995812.000,64188,1,SF,1,100,0.0030
1715670621.667545,1996130.000,64238,1,SF,1,100,0.0030
1715670622.000899,1996448.000,64288,1,SF,1,100,0.0029
1715670622.330059,1996762.000,64338,1,SF,1,100,0.0029
1715670622.666558,1997083.000,64389,1,SF,1,100,0.0029
1715670622.998863,1997400.000,64437,1,SF,1,100,0.0028
1715670623.330120,1997716.000,64488,1,SF,1,100,0.0028
1715670623.731612,1998099.000,64557,1,SF,1,100,0.0028
1715670623.998924,1998354.000,64575,1,SF,1,100,0.0027
1715670624.398319,1998735.000,64593,1,SF,1,100,0.0027
1715670624.729576,1999051.000,64629,1,SF,1,100,0.0027
1715670625.063978,1999370.000,64679,1,SF,1,100,0.0026
1715670625.395235,1999686.000,64727,1,SF,1,100,0.0026
1715670625.659402,1999938.000,64780,1,SF,1,100,0.0026
