LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1715670605.823814,1981016.000,61834,2,EA,1,100,4.343502
1715670605.890904,1981080.000,61834,2,EA,1,100,4.338075
1715670605.956945,1981143.000,61850,1,EA,1,100,4.338075
1715670606.024035,1981207.000,61867,2,EA,1,100,4.343502
1715670606.091125,1981271.000,61867,2,EA,1,100,4.332681
1715670606.158740,1981335.500,61882,2,EA,1,100,4.329998
1715670606.226354,1981400.000,61882,2,EA,1,100,4.329998
1715670606.292396,1981463.000,61899,1,EA,1,100,4.332681
1715670606.358437,1981526.000,61916,2,EA,1,100,4.338075
1715670606.424479,1981589.000,61916,2,EA,1,100,4.327300
1715670606.488424,1981650.000,61933,1,EA,1,100,4.335367
1715670606.554466,1981713.000,61948,2,EA,1,100,4.324624
1715670606.620508,1981776.000,61948,2,EA,1,100,4.324624
1715670606.686549,1981839.000,61965,2,EA,1,100,4.332681
1715670606.752591,1981902.000,61965,2,EA,1,100,4.335367
1715670606.820729,1981967.000,61983,1,EA,1,100,4.332681
1715670606.886771,1982030.000,62000,2,EA,1,100,4.329998
1715670606.952813,1982093.000,62000,2,EA,1,100,4.332681
1715670607.020952,1982158.000,62017,1,EA,1,100,4.329998
1715670607.088042,1982222.000,62035,3,EA,1,100,4.324624
1715670607.155132,1982286.000,62035,3,EA,1,100,4.321932
1715670607.222222,1982350.000,62035,3,EA,1,100,4.327300
1715670607.288263,1982413.000,62052,2,EA,1,100,4.319263
1715670607.354305,1982476.000,62052,2,EA,1,100,4.316597
1715670607.420871,1982539.500,62069,2,EA,1,100,4.335367
1715670607.487437,1982603.000,62069,2,EA,1,100,4.329998
1715670607.551382,1982664.000,62085,1,EA,1,100,4.321932
1715670607.617424,1982727.000,62101,2,EA,1,100,4.324624
1715670607.683465,1982790.000,62101,2,EA,1,100,4.319263
1715670607.749507,1982853.000,62117,1,EA,1,100,4.327300
1715670607.817122,1982917.500,62134,2,EA,1,100,4.324624
1715670607.884736,1982982.000,62134,2,EA,1,100,4.324624
1715670607.951826,1983046.000,62151,2,EA,1,100,4.327300
1715670608.018916,1983110.000,62151,2,EA,1,100,4.316597
1715670608.086006,1983174.000,62168,1,EA,1,100,4.319263
1715670608.152572,1983237.500,62182,2,EA,1,100,4.321932
1715670608.219138,1983301.000,62182,2,EA,1,100,4.327300
1715670608.287276,1983366.000,62199,1,EA,1,100,4.321932
1715670608.353842,1983429.500,62216,2,EA,1,100,4.313915
1715670608.420408,1983493.000,62216,2,EA,1,100,4.311255
1715670608.486974,1983556.500,62233,2,EA,1,100,4.321932
1715670608.553540,1983620.000,62233,2,EA,1,100,4.319263
1715670608.619581,1983683.000,62250,1,EA,1,100,4.313915
1715670608.685099,1983745.500,62269,2,EA,1,100,4.319263
1715670608.750617,1983808.000,62269,2,EA,1,100,4.313915
1715670608.817008,1983871.333,62286,3,EA,1,100,4.316597
1715670608.883399,1983934.667,62286,3,EA,1,100,4.308562
1715670608.949790,1983998.000,62286,3,EA,1,100,4.305928
1715670609.016356,1984061.500,62303,2,EA,1,100,4.313915
1715670609.082922,1984125.000,62303,2,EA,1,100,4.321932
1715670609.150012,1984189.000,62320,2,EA,1,100,4.313915
1715670609.217102,1984253.000,62320,2,EA,1,100,4.327300
